DATE,HOUSE #,STREET,ADDRESS,CITY,STATE,OVER FLOW,NOT OUT,NOT AT CURB,DETAILS
1/2/2018,100,BONA RD,100 BONA RD,Knoxville,TN,,x,,
1/2/2018,113,BUTLER DR,113 BUTLER DR,Knoxville,TN,,x,,
1/2/2018,125,E GLENWOOD AVE,125 E GLENWOOD AVE,Knoxville,TN,,x,,
1/2/2018,201,ANDERSON AVE,201 ANDERSON AVE,Knoxville,TN,,X,,
1/2/2018,208,DALTON PLACE WAY,208 DALTON PLACE WAY,Knoxville,TN,x,,,
1/2/2018,216,HIDELL RD,216 HIDELL RD,Knoxville,TN,x,,,
1/2/2018,227,DOUGLAS AVE,227 DOUGLAS AVE,Knoxville,TN,x,,,
1/2/2018,301,AULT ST,301 AULT ST,Knoxville,TN,,x,,
1/2/2018,309,FORESTAL DR,309 FORESTAL DR,Knoxville,TN,,x,,
1/2/2018,317,E SPRINGDALE AVE,317 E SPRINGDALE AVE,Knoxville,TN,,x,,
1/2/2018,361,HIAWASSEE AVE,361 HIAWASSEE AVE,Knoxville,TN,,x,,
1/2/2018,409,ANTEELAH TRL,409 ANTEELAH TRL,Knoxville,TN,,x,,
1/2/2018,421,HIGGINS AVE,421 HIGGINS AVE,Knoxville,TN,,x,,
1/2/2018,450,E OKLAHOMA AVE,450 E OKLAHOMA AVE,Knoxville,TN,,x,,
1/2/2018,506,OGLEWOOD AVE,506 OGLEWOOD AVE,Knoxville,TN,,x,,
1/2/2018,520,S BEAMAN ST,520 S BEAMAN ST,Knoxville,TN,,x,,
1/2/2018,601,W FORD VALLEY RD,601 W FORD VALLEY RD,Knoxville,TN,,x,,
1/2/2018,615,LOOKOUT CT,615 LOOKOUT CT,Knoxville,TN,,X,,
1/2/2018,701,FOREST VIEW RD,701 FOREST VIEW RD,Knoxville,TN,,x,,
1/2/2018,712,VANOSDALE RD,712 VANOSDALE RD,Knoxville,TN,,x,,
1/2/2018,725,CESSNA RD,725 CESSNA RD,Knoxville,TN,,x,,
1/2/2018,801,BLUFF DR,801 BLUFF DR,Knoxville,TN,,,,
1/2/2018,812,W ANDERSON AVE,812 W ANDERSON AVE,Knoxville,TN,,x,,
1/2/2018,841,BENNETT PL,841 BENNETT PL,Knoxville,TN,x,,,
1/2/2018,910,GERTRUDE AVE,910 GERTRUDE AVE,Knoxville,TN,,x,,
1/2/2018,929,KENESAW AVE,929 KENESAW AVE,Knoxville,TN,x,,,
1/2/2018,1004,NORTH THIRD AVE,1004 NORTH THIRD AVE,Knoxville,TN,,x,,
1/2/2018,1017,PLEASAND KNOLL LN,1017 PLEASAND KNOLL LN,Knoxville,TN,,x,,
1/2/2018,1040,W PARKWAY AVE ,1040 W PARKWAY AVE ,Knoxville,TN,,,,
1/2/2018,1108,HARBIN RIDGE LN,1108 HARBIN RIDGE LN,Knoxville,TN,,x,,
1/2/2018,1120,FAIRFAX AVE,1120 FAIRFAX AVE,Knoxville,TN,,x,,
1/2/2018,1168,ARMSTRONG AVE,1168 ARMSTRONG AVE,Knoxville,TN,x,,,
1/2/2018,1213,PILLEAUX DR,1213 PILLEAUX DR,Knoxville,TN,,x,,
1/2/2018,1243,GRENOBLE DR,1243 GRENOBLE DR,Knoxville,TN,,x,,
1/2/2018,1309,JOY RD ,1309 JOY RD ,Knoxville,TN,,x,,3 apartments 
1/2/2018,1326,BEAUMONT AVE,1326 BEAUMONT AVE,Knoxville,TN,,,,car blocking 
1/2/2018,1409,CHICAGO AVE,1409 CHICAGO AVE,Knoxville,TN,x,,,car parts 
1/2/2018,1426,N 4TH AVE,1426 N 4TH AVE,Knoxville,TN,x,,,
1/2/2018,1512,BANYAN LN,1512 BANYAN LN,Knoxville,TN,,x ,,
1/2/2018,1537,HOLMAN RD,1537 HOLMAN RD,Knoxville,TN,x ,,,
1/2/2018,1612,N HILLS BLVD,1612 N HILLS BLVD,Knoxville,TN,,,,bag on ground 
1/2/2018,1635,JEFFERSON AVE,1635 JEFFERSON AVE,Knoxville,TN,,x,,
1/2/2018,1708,AULT RD,1708 AULT RD,Knoxville,TN,,x,,
1/2/2018,1721,DONINGHAM DR,1721 DONINGHAM DR,Knoxville,TN,,x,,
1/2/2018,1801,CHARLES DR,1801 CHARLES DR,Knoxville,TN,,x,,
1/2/2018,1831,MELROSE AVE,1831 MELROSE AVE,Knoxville,TN,,x,,
1/2/2018,1910,MISSISSIPPI AVE,1910 MISSISSIPPI AVE,Knoxville,TN,,x,,
1/2/2018,1929,WOODBINE AVE,1929 WOODBINE AVE,Knoxville,TN,,x ,,
1/2/2018,2005,AILOR AVE,2005 AILOR AVE,Knoxville,TN,x ,,,
1/2/2018,2019,HIGHLAND DR,2019 HIGHLAND DR,Knoxville,TN,,x,,
1/2/2018,2100,HIGHLAND DR,2100 HIGHLAND DR,Knoxville,TN,,x,,
1/2/2018,2115,COKER AVE,2115 COKER AVE,Knoxville,TN,,x,,
1/2/2018,2149,DANDRIDGE AVE,2149 DANDRIDGE AVE,Knoxville,TN,x ,,,
1/2/2018,2213,BERNHURST DR,2213 BERNHURST DR,Knoxville,TN,,,x ,
1/2/2018,2237,WOODROW DR,2237 WOODROW DR,Knoxville,TN,,x ,,
1/2/2018,2307,LAWSON AVE,2307 LAWSON AVE,Knoxville,TN,,x ,,
1/2/2018,2321,SUN VALLEY RD,2321 SUN VALLEY RD,Knoxville,TN,,x ,,
1/2/2018,2400,KANTEBURY DR,2400 KANTEBURY DR,Knoxville,TN,x ,,,
1/2/2018,2420,LINDEN AVE,2420 LINDEN AVE,Knoxville,TN,,x,,
1/2/2018,2459,BROOKS AVE,2459 BROOKS AVE,Knoxville,TN,,x,,
1/2/2018,2516,HOLBROOK DR,2516 HOLBROOK DR,Knoxville,TN,,x,,
1/2/2018,2600,FENWOOD DR,2600 FENWOOD DR,Knoxville,TN,x ,,,
1/2/2018,2626,BARTON ST,2626 BARTON ST,Knoxville,TN,,x,,
1/2/2018,2714,SUMMIT AVE,2714 SUMMIT AVE,Knoxville,TN,,,,building material 
1/2/2018,2807,PRUDEN DR,2807 PRUDEN DR,Knoxville,TN,,x,,
1/2/2018,2836,CARSON AVE,2836 CARSON AVE,Knoxville,TN,,x,,
1/2/2018,2912,CECIL AVE,2912 CECIL AVE,Knoxville,TN,x,,,
1/2/2018,2937,EDGEWOOD AVE,2937 EDGEWOOD AVE,Knoxville,TN,,x,,
1/2/2018,3022,N HILLS BLVD,3022 N HILLS BLVD,Knoxville,TN,,x,,
1/2/2018,3106,BIRCHWOOD RD,3106 BIRCHWOOD RD,Knoxville,TN,,x,,toilet 
1/2/2018,3119,CHERRYWOOD RD,3119 CHERRYWOOD RD,Knoxville,TN,x,,,sofa
1/2/2018,3203,LAUREL VIEW RD,3203 LAUREL VIEW RD,Knoxville,TN,,,,needs new toter 
1/2/2018,3224,CULPEPPER RD,3224 CULPEPPER RD,Knoxville,TN,x ,,,several tv's other items 
1/2/2018,3310,MONMOUTH ST,3310 MONMOUTH ST,Knoxville,TN,,x,,
1/2/2018,3350,LAKE VIEW DR,3350 LAKE VIEW DR,Knoxville,TN,x,,,big screen tv at curb 
1/2/2018,3419,MCDONALD RD,3419 MCDONALD RD,Knoxville,TN,,x,,
1/2/2018,3510,S HAVEN RD,3510 S HAVEN RD,Knoxville,TN,,,,personal can
1/2/2018,3610,BUFFAT MILL RD,3610 BUFFAT MILL RD,Knoxville,TN,,x,,
1/2/2018,3710,EAKERS ST,3710 EAKERS ST,Knoxville,TN,,x,,
1/2/2018,3808,KNOX LN,3808 KNOX LN,Knoxville,TN,x,,,
1/2/2018,3854,SEQUOYAH AVE,3854 SEQUOYAH AVE,Knoxville,TN,,x,,
1/2/2018,3926,FOREST GLEN DR,3926 FOREST GLEN DR,Knoxville,TN,x ,,x,pic every week 
1/2/2018,4016,GUMWOOD LN,4016 GUMWOOD LN,Knoxville,TN,,x,,
1/2/2018,4106,TAZEWELL PIKE,4106 TAZEWELL PIKE,Knoxville,TN,,x,,
1/2/2018,4137,LARIGO DR,4137 LARIGO DR,Knoxville,TN,,x,,
1/2/2018,4210,ROBERT LOVE DR,4210 ROBERT LOVE DR,Knoxville,TN,x ,,,
1/2/2018,4264,VALENVCIA RD ,4264 VALENVCIA RD ,Knoxville,TN,,x,,
1/2/2018,4311,VALLEY VIEW DR,4311 VALLEY VIEW DR,Knoxville,TN,,x,,
1/2/2018,4345,LARIGO DR,4345 LARIGO DR,Knoxville,TN,,x ,,
1/2/2018,4412,GREENFERN WAY,4412 GREENFERN WAY,Knoxville,TN,,x,,
1/2/2018,4504,BARBARA DR,4504 BARBARA DR,Knoxville,TN,,x,,
1/2/2018,4600,Florence Rd,4600 Florence Rd,Knoxville,TN,,x,,
1/2/2018,4621,NEWCOM AVE,4621 NEWCOM AVE,Knoxville,TN,,x,,
1/2/2018,4716,BUFFAT MILL RD,4716 BUFFAT MILL RD,Knoxville,TN,,x,,
1/2/2018,4809,JULIAN ST,4809 JULIAN ST,Knoxville,TN,,x,,
1/2/2018,4908,HOLSTON DR,4908 HOLSTON DR,Knoxville,TN,x,,,ex trash and pallets 
1/2/2018,5000,NORWIND LN,5000 NORWIND LN,Knoxville,TN,,x,,
1/2/2018,5027,DOVEWOOD WAY,5027 DOVEWOOD WAY,Knoxville,TN,x,,,
1/2/2018,5118,EVELYN DR,5118 EVELYN DR,Knoxville,TN,,x,,
1/2/2018,5212,ASHEVILLE HWY,5212 ASHEVILLE HWY,Knoxville,TN,,x,,
1/2/2018,5304,TRACE MANOR LN,5304 TRACE MANOR LN,Knoxville,TN,,x,,
1/2/2018,5332,AVERY WOODS LN,5332 AVERY WOODS LN,Knoxville,TN,,x,,
1/2/2018,5412,MAYWOOD RD,5412 MAYWOOD RD,Knoxville,TN,,x,,
1/2/2018,5501,CRESTWOOD DR,5501 CRESTWOOD DR,Knoxville,TN,x,,,move out
1/2/2018,5516,PAULA RD,5516 PAULA RD,Knoxville,TN,,x,,
1/2/2018,5609,LAKE SHORE DR,5609 LAKE SHORE DR,Knoxville,TN,,x,,
1/2/2018,5657,EAGLE CREST LN,5657 EAGLE CREST LN,Knoxville,TN,,x,,
1/2/2018,5712,WOODED ACRES DR,5712 WOODED ACRES DR,Knoxville,TN,,x,,
1/2/2018,5804,MONDALE RD,5804 MONDALE RD,Knoxville,TN,,,X,
1/2/2018,5836,METROPOLITAN WAY,5836 METROPOLITAN WAY,Knoxville,TN,,x,,
1/2/2018,5915,BARBADOS LN,5915 BARBADOS LN,Knoxville,TN,,x,,
1/2/2018,5979,WESTMERE DR,5979 WESTMERE DR,Knoxville,TN,,x,,
1/2/2018,6023,FOUNTAIN RD,6023 FOUNTAIN RD,Knoxville,TN,,x,,
1/2/2018,6116,BURLWOOD RD,6116 BURLWOOD RD,Knoxville,TN,,x,,
1/2/2018,6305,TAMWORTH LN,6305 TAMWORTH LN,Knoxville,TN,,x,,
1/2/2018,6512,TEWKSBURY DR,6512 TEWKSBURY DR,Knoxville,TN,,,x,
1/2/2018,6705,FERN MEADOW WAY,6705 FERN MEADOW WAY,Knoxville,TN,,x,,
1/2/2018,6839,DORCHESTER DR,6839 DORCHESTER DR,Knoxville,TN,,,,blocked by gray car
1/2/2018,7013,DOWNING DR,7013 DOWNING DR,Knoxville,TN,,x,,cart swap needed
1/2/2018,7114,ROTHERWOOD DR,7114 ROTHERWOOD DR,Knoxville,TN,,x,,
1/2/2018,7227,ASHBURTON DR,7227 ASHBURTON DR,Knoxville,TN,x,,,
1/2/2018,7342,MANDERLY WAY,7342 MANDERLY WAY,Knoxville,TN,,x,,
1/2/2018,7524,LUSCOMBE DR,7524 LUSCOMBE DR,Knoxville,TN,,x,,
1/2/2018,7717,SABRE DR,7717 SABRE DR,Knoxville,TN,,x,,
1/2/2018,7914,GLEASON DR,7914 GLEASON DR,Knoxville,TN,,X,,
1/2/2018,8029,HAYDEN DR,8029 HAYDEN DR,Knoxville,TN,,x,,
1/2/2018,8300,ALEXANDER CAVET DR,8300 ALEXANDER CAVET DR,Knoxville,TN,,x,,
1/2/2018,2326 B,CEDAR LN,2326 B CEDAR LN,Knoxville,TN,,x,,
